ABC|2022/11/13|1200|0|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABC2022/11/131200
ABD|2022/11/14|1900|0|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABD2022/11/141900
ABE|2022/11/15|1200|0|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABE2022/11/151200
ABF|2022/11/16|1900|0|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABF2022/11/161900
ABG|2022/11/17|1200|0|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,1,1,1,1,1,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABG2022/11/171200
ABH|2022/11/18|1900|0|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABH2022/11/181900
ABI|2022/11/19|1200|0|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABI2022/11/191200
ABJ|2022/11/13|1400|1|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABJ2022/11/131400
ABK|2022/11/14|2100|1|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABK2022/11/142100
ABE|2022/11/15|1400|1|2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,0,0,3,3,4,4,2,4,4,3,3,0,0,0,0,2.2,0,0,5,5,3,3,4,4,2,4,4,3,3,5,5,0,0,2.2,0,0,5,5,3,3,4,4,2,2,2,3,3,5,5,0,0,2|ABE2022/11/151400
